ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
121.36.222.101,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '121.36.222.101'],IPv4-Addr,ecs-121-36-222-101.compute.hwclouds-dns.com,ecs-121-36-222-101.compute.hwclouds-dns.com,,
8.130.24.191,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '8.130.24.191'],IPv4-Addr,,,,
43.153.222.28,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Singapore,"Asia Pacific Network Information Center, Pty. Ltd.","Tencent Building, Kejizhongyi Avenue",2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '43.153.222.28'],IPv4-Addr,,,,
47.93.243.161,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.93.243.161'],IPv4-Addr,,,,
118.26.38.52,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '118.26.38.52'],IPv4-Addr,,,,
82.156.108.180,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '82.156.108.180'],IPv4-Addr,,,,
47.120.60.201,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.120.60.201'],IPv4-Addr,,,,
156.238.243.161,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Hong Kong,"High Family Technology Co., Limited","High Family Technology Co., Limited",2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '156.238.243.161'],IPv4-Addr,,,,
14.128.37.56,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,7443,Hong Kong,CTG Server Ltd.,CTG Server Limited,2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '14.128.37.56'],IPv4-Addr,,,,
35.196.251.29,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Google LLC,Google LLC,2025-02-09,2025-02-10,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '35.196.251.29'],IPv4-Addr,29.251.196.35.bc.googleusercontent.com,29.251.196.35.bc.googleusercontent.com,,
