ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
147.93.130.19,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Contabo GmbH,"Nubes, LLC",2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '147.93.130.19'],IPv4-Addr,mail.coinhako.us,mail.coinhako.us,,
108.181.0.228,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Psychz Networks,Psychz Networks,2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '108.181.0.228'],IPv4-Addr,,,,
54.92.179.181,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '54.92.179.181'],IPv4-Addr,ec2-54-92-179-181.compute-1.amazonaws.com,ec2-54-92-179-181.compute-1.amazonaws.com,,
213.109.147.20,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Netherlands,BlueVPS OU,BlueVPS OU,2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '213.109.147.20'],IPv4-Addr,,,,
16.163.143.235,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Hong Kong,Amazon Data Services Hong Kong,"Amazon.com, Inc.",2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '16.163.143.235'],IPv4-Addr,ec2-16-163-143-235.ap-east-1.compute.amazonaws.com,ec2-16-163-143-235.ap-east-1.compute.amazonaws.com,,
159.89.182.136,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,"DigitalOcean, LLC","DigitalOcean, LLC",2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '159.89.182.136'],IPv4-Addr,,,,
15.223.185.126,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Canada,Amazon Data Services Canada,"Amazon.com, Inc.",2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '15.223.185.126'],IPv4-Addr,"ec2-15-223-185-126.ca-central-1.compute.amazonaws.com,travelbrands.eaglecorn.org",ec2-15-223-185-126.ca-central-1.compute.amazonaws.com,travelbrands.eaglecorn.org,
3.136.231.230,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Amazon Technologies Inc.,"Amazon.com, Inc.",2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '3.136.231.230'],IPv4-Addr,ec2-3-136-231-230.us-east-2.compute.amazonaws.com,ec2-3-136-231-230.us-east-2.compute.amazonaws.com,,
139.162.1.232,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Singapore,"Linode, LLC",Akamai Connected Cloud,2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '139.162.1.232'],IPv4-Addr,139-162-1-232.ip.linodeusercontent.com,139-162-1-232.ip.linodeusercontent.com,,
20.188.119.195,product:Havoc,Havoc C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Singapore,Microsoft Corporation,Microsoft Corporation,2025-02-15,2025-02-15,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '20.188.119.195'],IPv4-Addr,,,,
