ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
145.239.171.199,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Germany,Di Benedetto Umberto,OVH SAS,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '145.239.171.199'],IPv4-Addr,ip199.ip-145-239-171.eu,ip199.ip-145-239-171.eu,,
193.37.69.169,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Netherlands,"XHOST INTERNET SOLUTIONS LP Suite 6060, 128 Aldersgate Street, Barbican, London EClA 4AE, England",XHOST INTERNET SOLUTIONS LP,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '193.37.69.169'],IPv4-Addr,,,,
207.244.239.105,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,Contabo Inc.,"Nubes, LLC",2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '207.244.239.105'],IPv4-Addr,vmi1171646.contaboserver.net,vmi1171646.contaboserver.net,,
45.144.138.77,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Hong Kong,XNNET LIMITED,LUCIDACLOUD LIMITED,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '45.144.138.77'],IPv4-Addr,,,,
148.135.72.115,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,Brander Group Inc.,MULTACOM CORPORATION,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '148.135.72.115'],IPv4-Addr,243-103-52-198-dedicated.multacom.com,243-103-52-198-dedicated.multacom.com,,
92.204.173.24,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,France,Jahirul Islam,velia.net Internetdienste GmbH,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '92.204.173.24'],IPv4-Addr,,,,
45.144.138.74,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Hong Kong,XNNET LIMITED,LUCIDACLOUD LIMITED,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '45.144.138.74'],IPv4-Addr,,,,
107.148.79.174,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Singapore,PEG-LA,PEG TECH INC,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '107.148.79.174'],IPv4-Addr,jzh-174.thifl.com,jzh-174.thifl.com,,
103.157.96.18,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Indonesia,PT Beon Intermedia,PT. Beon Intermedia,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '103.157.96.18'],IPv4-Addr,,,,
45.125.67.147,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Hong Kong,BLUE VPS,Tele Asia Limited,2025-01-26,2025-01-27,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '45.125.67.147'],IPv4-Addr,state.afntyp.info,state.afntyp.info,,
