ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
185.196.9.29,product:'DarkComet Trojan',DarkComet Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,1604,Germany,Global-Data System IT Corporation,Global-Data System IT Corporation,2025-01-28,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '185.196.9.29'],IPv4-Addr,,,,
95.158.11.105,product:'DarkComet Trojan',DarkComet Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,1604,Ukraine,LIMITED LIABILITY COMPANY BEST SOLUTIONS,"LIMITED LIABILITY COMPANY ""BEST SOLUTIONS""",2025-01-28,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '95.158.11.105'],IPv4-Addr,95.158.11.105.bestsolution.net.ua,95.158.11.105.bestsolution.net.ua,,
45.74.4.14,product:'DarkComet Trojan',DarkComet Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,16008,Germany,Internet Security - DE,M247 Europe SRL,2025-01-14,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '45.74.4.14'],IPv4-Addr,,,,
110.43.68.179,product:'XtremeRAT Trojan',XtremeRAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,10001,China,"Beijing Kingsoft Cloud Internet Technology Co., Ltd.","IDC, China Telecommunications Corporation",2025-01-28,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '110.43.68.179'],IPv4-Addr,,,,
196.200.160.201,product:'XtremeRAT Trojan',XtremeRAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,53,Morocco,MARWAN NOC,CNRST (Centre National pour la Recherche Scientifique et Technique),2025-01-19,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '196.200.160.201'],IPv4-Addr,ns2.marwan.ma,ns2.marwan.ma,,
45.74.4.14,product:'NanoCore RAT Trojan',NanoCore RAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,54984,Germany,Internet Security - DE,M247 Europe SRL,2025-01-21,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '45.74.4.14'],IPv4-Addr,,,,
76.100.191.184,product:'NanoCore RAT Trojan',NanoCore RAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,54984,United States,"Comcast Cable Communications, Inc.","Comcast Cable Communications, LLC",2025-01-10,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '76.100.191.184'],IPv4-Addr,c-76-100-191-184.hsd1.md.comcast.net,c-76-100-191-184.hsd1.md.comcast.net,,
45.149.241.217,product:'NanoCore RAT Trojan',NanoCore RAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,54984,Netherlands,Nybula LLC,Nybula LLC,2025-01-09,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '45.149.241.217'],IPv4-Addr,,,,
222.190.108.207,product:'Gh0st RAT Trojan',Gh0st RAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,CHINANET jiangsu province network,CHINANET-BACKBONE,2025-01-28,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '222.190.108.207'],IPv4-Addr,,,,
46.142.145.18,product:'Gh0st RAT Trojan',Gh0st RAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,80,Germany,1&1 Versatel Deutschland GmbH,1&1 Versatel Deutschland GmbH,2025-01-28,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '46.142.145.18'],IPv4-Addr,18-145-142-46.pool.kielnet.net,18-145-142-46.pool.kielnet.net,,
49.7.197.52,product:'Gh0st RAT Trojan',Gh0st RAT Trojan_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,80,China,"ChinaTelecom Group Beijing Ltd,Co","IDC, China Telecommunications Corporation",2025-01-20,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '49.7.197.52'],IPv4-Addr,,,,
38.129.66.6,hash:856668804,Villain C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,"Lockard, LLC.","Lockard, LLC.",2025-01-26,2025-01-29,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '38.129.66.6'],IPv4-Addr,,,,
