ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
5.39.218.164,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Netherlands,HOSTKEY B.V.,HOSTKEY B.V.,2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '5.39.218.164'],IPv4-Addr,,,,
202.154.57.243,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Indonesia,PT. Rahajasa Media Internet,PT Rahajasa Media Internet,2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '202.154.57.243'],IPv4-Addr,,,,
37.187.20.127,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,France,OVH SAS,OVH SAS,2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '37.187.20.127'],IPv4-Addr,ns373538.ip-37-187-20.eu,ns373538.ip-37-187-20.eu,,
146.190.51.91,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,"DigitalOcean, LLC","DigitalOcean, LLC",2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '146.190.51.91'],IPv4-Addr,,,,
217.114.222.12,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Germany,Hellserver IP Network,Keyweb AG,2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '217.114.222.12'],IPv4-Addr,h-217.114.222.12.keyweb.de,h-217.114.222.12.keyweb.de,,
202.125.94.123,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Indonesia,Gunadarma University,Gunadarma University,2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '202.125.94.123'],IPv4-Addr,,,,
132.148.73.51,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,"GoDaddy.com, LLC","GoDaddy.com, LLC",2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '132.148.73.51'],IPv4-Addr,51.73.148.132.host.secureserver.net,51.73.148.132.host.secureserver.net,,
213.252.246.56,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Lithuania,BAcloud,"Informacines sistemos ir technologijos, UAB",2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '213.252.246.56'],IPv4-Addr,digitalpak.live,digitalpak.live,,
104.207.129.187,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,"Vultr Holdings, LLC","The Constant Company, LLC",2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '104.207.129.187'],IPv4-Addr,104.207.129.187.vultrusercontent.com,104.207.129.187.vultrusercontent.com,,
184.185.107.7,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,Cox Communications Inc.,Cox Communications Inc.,2025-01-24,2025-01-25,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '184.185.107.7'],IPv4-Addr,wsip-184-185-107-7.ri.ri.cox.net,wsip-184-185-107-7.ri.ri.cox.net,,
