ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
150.158.89.168,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,55443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '150.158.89.168'],IPv4-Addr,,,,
103.27.186.188,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Japan,Haixing Cloud,Starry Network Limited,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '103.27.186.188'],IPv4-Addr,,,,
8.137.114.210,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,4433,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '8.137.114.210'],IPv4-Addr,,,,
101.201.247.232,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,4433,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '101.201.247.232'],IPv4-Addr,,,,
47.76.219.122,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,4443,Hong Kong,Alibaba Cloud - HK,"Alibaba (US) Technology Co., Ltd.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.76.219.122'],IPv4-Addr,,,,
118.26.38.52,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Hong Kong,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '118.26.38.52'],IPv4-Addr,,,,
124.156.193.181,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Singapore,Asia Pacific Network Information Centre,"Tencent Building, Kejizhongyi Avenue",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '124.156.193.181'],IPv4-Addr,,,,
54.89.84.100,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,United States,Amazon Technologies Inc.,"Amazon.com, Inc.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '54.89.84.100'],IPv4-Addr,ec2-54-89-84-100.compute-1.amazonaws.com,ec2-54-89-84-100.compute-1.amazonaws.com,,
121.36.222.101,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '121.36.222.101'],IPv4-Addr,ecs-121-36-222-101.compute.hwclouds-dns.com,ecs-121-36-222-101.compute.hwclouds-dns.com,,
8.130.24.191,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,Aliyun Computing Co.LTD,"Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '8.130.24.191'],IPv4-Addr,,,,
124.71.137.28,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),Huawei Cloud Service data center,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '124.71.137.28'],IPv4-Addr,ecs-124-71-137-28.compute.hwclouds-dns.com,ecs-124-71-137-28.compute.hwclouds-dns.com,,
82.156.0.140,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '82.156.0.140'],IPv4-Addr,,,,
47.93.243.161,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.93.243.161'],IPv4-Addr,,,,
83.229.122.83,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Hong Kong,LUCIDACLOUD LIMITED,LUCIDACLOUD LIMITED,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '83.229.122.83'],IPv4-Addr,,,,
112.124.71.123,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '112.124.71.123'],IPv4-Addr,,,,
43.134.58.195,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Singapore,"Asia Pacific Network Information Center, Pty. Ltd.","Tencent Building, Kejizhongyi Avenue",2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '43.134.58.195'],IPv4-Addr,,,,
124.221.177.165,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-06,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '124.221.177.165'],IPv4-Addr,,,,
47.120.60.201,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.120.60.201'],IPv4-Addr,,,,
14.128.37.56,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,7443,Hong Kong,CTG Server Ltd.,CTG Server Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '14.128.37.56'],IPv4-Addr,,,,
82.156.108.180,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '82.156.108.180'],IPv4-Addr,,,,
156.238.243.161,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Hong Kong,"High Family Technology Co., Limited","High Family Technology Co., Limited",2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '156.238.243.161'],IPv4-Addr,,,,
152.32.202.240,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Japan,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '152.32.202.240'],IPv4-Addr,,,,
62.234.11.61,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '62.234.11.61'],IPv4-Addr,,,,
111.229.17.56,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '111.229.17.56'],IPv4-Addr,,,,
101.35.228.105,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '101.35.228.105'],IPv4-Addr,,,,
101.43.42.134,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '101.43.42.134'],IPv4-Addr,,,,
123.57.230.183,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '123.57.230.183'],IPv4-Addr,,,,
39.100.82.221,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '39.100.82.221'],IPv4-Addr,,,,
121.4.36.95,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '121.4.36.95'],IPv4-Addr,,,,
44.193.202.139,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",2025-02-04,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '44.193.202.139'],IPv4-Addr,ec2-44-193-202-139.compute-1.amazonaws.com,ec2-44-193-202-139.compute-1.amazonaws.com,,
47.103.30.90,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-03,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.103.30.90'],IPv4-Addr,,,,
3.94.161.68,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",2025-02-04,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '3.94.161.68'],IPv4-Addr,ec2-3-94-161-68.compute-1.amazonaws.com,ec2-3-94-161-68.compute-1.amazonaws.com,,
68.221.205.139,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Spain,Microsoft Corporation,Microsoft Corporation,2025-02-04,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '68.221.205.139'],IPv4-Addr,,,,
14.103.51.225,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8089,China,"Beijing Volcano Engine Technology Co., Ltd.",China Telecom (Group),2025-02-03,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '14.103.51.225'],IPv4-Addr,,,,
178.128.174.174,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United Kingdom,"DigitalOcean, LLC","DigitalOcean, LLC",2025-02-03,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '178.128.174.174'],IPv4-Addr,,,,
156.224.19.17,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Hong Kong,Arosscloud INC,Gcc Cloud Technology Limited,2025-02-02,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '156.224.19.17'],IPv4-Addr,,,,
148.66.22.194,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Hong Kong,SIMCENTRIC-HK NETBLOCK,Netsec Limited,2025-02-02,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '148.66.22.194'],IPv4-Addr,,,,
20.119.80.107,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Microsoft Corporation,Microsoft Corporation,2025-02-01,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '20.119.80.107'],IPv4-Addr,,,,
