ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
121.4.36.95,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '121.4.36.95'],IPv4-Addr,,,,
114.132.252.93,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '114.132.252.93'],IPv4-Addr,,,,
47.109.77.180,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.109.77.180'],IPv4-Addr,,,,
111.230.62.154,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-05,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '111.230.62.154'],IPv4-Addr,,,,
47.115.54.19,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-04,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.115.54.19'],IPv4-Addr,,,,
47.96.13.97,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-02-03,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '47.96.13.97'],IPv4-Addr,,,,
107.174.67.215,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,United States,HostPapa,HostPapa,2025-02-03,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '107.174.67.215'],IPv4-Addr,107-174-67-215-host.colocrossing.com,107-174-67-215-host.colocrossing.com,,
101.43.39.58,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-03,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '101.43.39.58'],IPv4-Addr,,,,
111.229.110.232,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Tencent cloud computing (Beijing) Co., Ltd.",Shenzhen Tencent Computer Systems Company Limited,2025-02-02,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '111.229.110.232'],IPv4-Addr,,,,
114.55.100.165,hash:-2007783223 port:50050,Cobalt Strike C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,50050,China,"Aliyun Computing Co., LTD","Hangzhou Alibaba Advertising Co.,Ltd.",2025-01-31,2025-02-06,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '114.55.100.165'],IPv4-Addr,,,,
