ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
3.94.161.68,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,United States,Amazon Data Services NoVa,"Amazon.com, Inc.",2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '3.94.161.68'],IPv4-Addr,ec2-3-94-161-68.compute-1.amazonaws.com,ec2-3-94-161-68.compute-1.amazonaws.com,,
84.38.130.118,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,Latvia,Virtual and Dedicated servers,SIA RixHost,2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '84.38.130.118'],IPv4-Addr,ip-130-118.dataclub.info,ip-130-118.dataclub.info,,
185.208.159.167,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,Germany,Global-Data System IT Corporation,Global-Data System IT Corporation,2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '185.208.159.167'],IPv4-Addr,,,,
150.158.9.124,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '150.158.9.124'],IPv4-Addr,,,,
190.14.37.201,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,Panama,Offshore Racks S.A,Offshore Racks S.A,2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '190.14.37.201'],IPv4-Addr,h5sf.hndfshouse.info,h5sf.hndfshouse.info,,
165.227.47.240,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,Canada,"DigitalOcean, LLC","DigitalOcean, LLC",2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '165.227.47.240'],IPv4-Addr,,,,
36.139.122.41,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,China,China Mobile Communications Corporation,"China Mobile Communications Group Co., Ltd.",2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '36.139.122.41'],IPv4-Addr,,,,
146.70.158.198,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,France,M247 LTD Paris Infrastructure,M247 Europe SRL,2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '146.70.158.198'],IPv4-Addr,,,,
139.180.210.178,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,Singapore,"The Constant Company, LLC","The Constant Company, LLC",2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '139.180.210.178'],IPv4-Addr,139.180.210.178.vultrusercontent.com,139.180.210.178.vultrusercontent.com,,
173.255.226.84,product:'Sliver C2',Sliver C2_2,"IOA,Lab,Monty",IOA,Lab,Monty,,,31337,United States,Linode,Akamai Connected Cloud,2025-02-04,2025-02-05,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '173.255.226.84'],IPv4-Addr,li236-84.members.linode.com,li236-84.members.linode.com,,
