ip,query,malware_name,tag,tag1,tag2,tag3,tag4,tag5,port,country,org,isp,first_seen,last_seen,projectlabel,labelcolour,pattern type,pattern,main observable type,hostname,hostname1,hostname2,hostname3
124.156.193.181,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,8443,Singapore,Asia Pacific Network Information Centre,"Tencent Building, Kejizhongyi Avenue",2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '124.156.193.181'],IPv4-Addr,,,,
101.43.42.134,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '101.43.42.134'],IPv4-Addr,,,,
62.234.11.61,ssl.cert.serial:146473198,Cobalt Strike C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,China,"Tencent Cloud Computing (Beijing) Co., Ltd",Shenzhen Tencent Computer Systems Company Limited,2025-02-01,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '62.234.11.61'],IPv4-Addr,,,,
212.227.28.64,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Germany,IONOS SE,IONOS SE,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '212.227.28.64'],IPv4-Addr,ip212-227-28-64.pbiaas.com,ip212-227-28-64.pbiaas.com,,
34.81.132.39,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,443,Taiwan,Google LLC,Google LLC,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '34.81.132.39'],IPv4-Addr,39.132.81.34.bc.googleusercontent.com,39.132.81.34.bc.googleusercontent.com,,
37.221.196.152,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Germany,netcup GmbH,netcup GmbH,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '37.221.196.152'],IPv4-Addr,v2202104114190150259.nicesrv.de,v2202104114190150259.nicesrv.de,,
112.213.116.24,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Hong Kong,MEGA-II IDC,CTG Server Limited,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '112.213.116.24'],IPv4-Addr,,,,
134.209.225.107,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,Germany,"DigitalOcean, LLC","DigitalOcean, LLC",2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '134.209.225.107'],IPv4-Addr,,,,
107.172.32.126,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,HostPapa,HostPapa,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '107.172.32.126'],IPv4-Addr,107-172-32-126-host.colocrossing.com,107-172-32-126-host.colocrossing.com,,
162.240.238.31,ssl:MetasploitSelfSignedCA,Metasploit Framework C2_1,"IOA,Lab,Monty",IOA,Lab,Monty,,,3790,United States,Unified Layer,Unified Layer,2025-02-02,2025-02-03,CTI-IOA,#0020FF,stix,[ipv4-addr:value = '162.240.238.31'],IPv4-Addr,vps-1545140.dat1.space,vps-1545140.dat1.space,,
